PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=2.87 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=153 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=246 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=292 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=298 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=306 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=315 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=306 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=317 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=325 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=328 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=336 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=345 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=403 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=406 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=415 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=424 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=490 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=484 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=497 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=505 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=548 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=563 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=560 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=557 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=562 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=690 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=692 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=701 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=704 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=718 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=711 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=658 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=559 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=517 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=531 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=531 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=539 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=468 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=434 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=447 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=455 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=464 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=511 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=520 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=526 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=542 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=551 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=612 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=620 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=640 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=656 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=664 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=709 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=727 ms
