PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=3.71 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=115 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=109 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=117 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=89.5 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=86.9 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=96.2 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=95.4 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=90.9 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=88.3 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=73.3 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=118 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=198 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=184 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=171 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=144 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=148 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=114 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=94.2 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=79.5 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=129 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=202 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=229 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=163 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=203 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=176 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=130 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=163 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=158 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=94.3 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=93.1 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=132 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=189 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=151 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=109 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=211 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=206 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=191 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=168 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=133 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=82.6 ms
64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=84.6 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=82.0 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=78.8 ms
64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=87.2 ms
64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=96.2 ms
64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=94.1 ms
64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=89.2 ms
64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=85.9 ms
64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=97.6 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=89.0 ms
64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=86.1 ms
64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=97.1 ms
64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=87.1 ms
64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=90.4 ms
64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=87.5 ms
64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=84.0 ms
64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=93.1 ms
64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=83.7 ms
64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=86.0 ms
64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=83.1 ms
64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=91.7 ms
64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=87.9 ms
64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=84.6 ms
64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=86.2 ms
64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=90.2 ms
64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=80.3 ms
64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=82.9 ms
64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=87.2 ms
64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=81.8 ms
64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=83.9 ms
64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=87.6 ms
64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=84.7 ms
64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=93.5 ms
64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=87.3 ms
64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=89.6 ms
64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=85.5 ms
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=82.7 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=84.6 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=94.7 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=78.4 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=86.8 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=84.1 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=94.5 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=90.5 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=82.1 ms
64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=28.6 ms
64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=24.6 ms
64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=26.5 ms
64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=71.3 ms
64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=104 ms
64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=159 ms
64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=180 ms
64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=206 ms
64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=186 ms
64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=163 ms
64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=155 ms
64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=140 ms
64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=164 ms
64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=158 ms
64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=132 ms
64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=111 ms
64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=119 ms
64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=165 ms
64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=209 ms
64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=216 ms
64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=145 ms
64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=218 ms
64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=151 ms
64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=153 ms
64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=204 ms
64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=174 ms
64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=132 ms
64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=104 ms
64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=144 ms
64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=227 ms
64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=189 ms
64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=175 ms
64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=219 ms
64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=215 ms
64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=206 ms
64 bytes from 10.0.0.2: icmp_seq=155 ttl=64 time=166 ms
64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=151 ms
64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=137 ms
64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=122 ms
64 bytes from 10.0.0.2: icmp_seq=161 ttl=64 time=107 ms
64 bytes from 10.0.0.2: icmp_seq=162 ttl=64 time=103 ms
64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=93.3 ms
64 bytes from 10.0.0.2: icmp_seq=164 ttl=64 time=90.3 ms
64 bytes from 10.0.0.2: icmp_seq=165 ttl=64 time=88.4 ms
64 bytes from 10.0.0.2: icmp_seq=166 ttl=64 time=91.6 ms
64 bytes from 10.0.0.2: icmp_seq=167 ttl=64 time=89.8 ms
64 bytes from 10.0.0.2: icmp_seq=168 ttl=64 time=91.8 ms
64 bytes from 10.0.0.2: icmp_seq=169 ttl=64 time=102 ms
64 bytes from 10.0.0.2: icmp_seq=170 ttl=64 time=107 ms
64 bytes from 10.0.0.2: icmp_seq=171 ttl=64 time=112 ms
64 bytes from 10.0.0.2: icmp_seq=172 ttl=64 time=119 ms
64 bytes from 10.0.0.2: icmp_seq=173 ttl=64 time=126 ms
64 bytes from 10.0.0.2: icmp_seq=174 ttl=64 time=124 ms
64 bytes from 10.0.0.2: icmp_seq=175 ttl=64 time=132 ms
64 bytes from 10.0.0.2: icmp_seq=176 ttl=64 time=128 ms
64 bytes from 10.0.0.2: icmp_seq=177 ttl=64 time=125 ms
64 bytes from 10.0.0.2: icmp_seq=178 ttl=64 time=122 ms
64 bytes from 10.0.0.2: icmp_seq=179 ttl=64 time=131 ms
64 bytes from 10.0.0.2: icmp_seq=180 ttl=64 time=130 ms
64 bytes from 10.0.0.2: icmp_seq=181 ttl=64 time=125 ms
64 bytes from 10.0.0.2: icmp_seq=182 ttl=64 time=122 ms
64 bytes from 10.0.0.2: icmp_seq=183 ttl=64 time=131 ms
64 bytes from 10.0.0.2: icmp_seq=184 ttl=64 time=121 ms
64 bytes from 10.0.0.2: icmp_seq=185 ttl=64 time=124 ms
64 bytes from 10.0.0.2: icmp_seq=186 ttl=64 time=110 ms
64 bytes from 10.0.0.2: icmp_seq=187 ttl=64 time=107 ms
64 bytes from 10.0.0.2: icmp_seq=188 ttl=64 time=102 ms
64 bytes from 10.0.0.2: icmp_seq=189 ttl=64 time=112 ms
64 bytes from 10.0.0.2: icmp_seq=190 ttl=64 time=108 ms
64 bytes from 10.0.0.2: icmp_seq=191 ttl=64 time=105 ms
64 bytes from 10.0.0.2: icmp_seq=192 ttl=64 time=113 ms
64 bytes from 10.0.0.2: icmp_seq=193 ttl=64 time=111 ms
64 bytes from 10.0.0.2: icmp_seq=194 ttl=64 time=118 ms
64 bytes from 10.0.0.2: icmp_seq=195 ttl=64 time=126 ms
64 bytes from 10.0.0.2: icmp_seq=196 ttl=64 time=125 ms
64 bytes from 10.0.0.2: icmp_seq=197 ttl=64 time=134 ms
64 bytes from 10.0.0.2: icmp_seq=198 ttl=64 time=129 ms
64 bytes from 10.0.0.2: icmp_seq=199 ttl=64 time=126 ms
64 bytes from 10.0.0.2: icmp_seq=200 ttl=64 time=123 ms
64 bytes from 10.0.0.2: icmp_seq=201 ttl=64 time=134 ms
64 bytes from 10.0.0.2: icmp_seq=202 ttl=64 time=68.7 ms
64 bytes from 10.0.0.2: icmp_seq=203 ttl=64 time=27.9 ms
64 bytes from 10.0.0.2: icmp_seq=204 ttl=64 time=38.5 ms
64 bytes from 10.0.0.2: icmp_seq=205 ttl=64 time=32.9 ms
64 bytes from 10.0.0.2: icmp_seq=206 ttl=64 time=29.6 ms
64 bytes from 10.0.0.2: icmp_seq=207 ttl=64 time=56.5 ms
64 bytes from 10.0.0.2: icmp_seq=208 ttl=64 time=90.2 ms
64 bytes from 10.0.0.2: icmp_seq=209 ttl=64 time=80.6 ms
64 bytes from 10.0.0.2: icmp_seq=210 ttl=64 time=88.8 ms
64 bytes from 10.0.0.2: icmp_seq=211 ttl=64 time=151 ms
64 bytes from 10.0.0.2: icmp_seq=213 ttl=64 time=211 ms
64 bytes from 10.0.0.2: icmp_seq=215 ttl=64 time=192 ms
64 bytes from 10.0.0.2: icmp_seq=216 ttl=64 time=157 ms
64 bytes from 10.0.0.2: icmp_seq=217 ttl=64 time=152 ms
64 bytes from 10.0.0.2: icmp_seq=218 ttl=64 time=148 ms
64 bytes from 10.0.0.2: icmp_seq=224 ttl=64 time=145 ms
64 bytes from 10.0.0.2: icmp_seq=226 ttl=64 time=155 ms
64 bytes from 10.0.0.2: icmp_seq=228 ttl=64 time=166 ms
64 bytes from 10.0.0.2: icmp_seq=229 ttl=64 time=160 ms
64 bytes from 10.0.0.2: icmp_seq=230 ttl=64 time=121 ms
64 bytes from 10.0.0.2: icmp_seq=231 ttl=64 time=117 ms
64 bytes from 10.0.0.2: icmp_seq=232 ttl=64 time=95.0 ms
64 bytes from 10.0.0.2: icmp_seq=233 ttl=64 time=119 ms
64 bytes from 10.0.0.2: icmp_seq=234 ttl=64 time=186 ms
64 bytes from 10.0.0.2: icmp_seq=236 ttl=64 time=215 ms
64 bytes from 10.0.0.2: icmp_seq=237 ttl=64 time=209 ms
64 bytes from 10.0.0.2: icmp_seq=238 ttl=64 time=178 ms
64 bytes from 10.0.0.2: icmp_seq=239 ttl=64 time=139 ms
64 bytes from 10.0.0.2: icmp_seq=240 ttl=64 time=208 ms
64 bytes from 10.0.0.2: icmp_seq=243 ttl=64 time=227 ms
64 bytes from 10.0.0.2: icmp_seq=245 ttl=64 time=194 ms
64 bytes from 10.0.0.2: icmp_seq=246 ttl=64 time=157 ms
64 bytes from 10.0.0.2: icmp_seq=247 ttl=64 time=135 ms
64 bytes from 10.0.0.2: icmp_seq=248 ttl=64 time=132 ms
64 bytes from 10.0.0.2: icmp_seq=249 ttl=64 time=115 ms
64 bytes from 10.0.0.2: icmp_seq=250 ttl=64 time=112 ms
64 bytes from 10.0.0.2: icmp_seq=251 ttl=64 time=146 ms
64 bytes from 10.0.0.2: icmp_seq=252 ttl=64 time=216 ms
64 bytes from 10.0.0.2: icmp_seq=255 ttl=64 time=206 ms
64 bytes from 10.0.0.2: icmp_seq=256 ttl=64 time=168 ms
64 bytes from 10.0.0.2: icmp_seq=257 ttl=64 time=184 ms
64 bytes from 10.0.0.2: icmp_seq=258 ttl=64 time=169 ms
64 bytes from 10.0.0.2: icmp_seq=260 ttl=64 time=209 ms
64 bytes from 10.0.0.2: icmp_seq=264 ttl=64 time=175 ms
64 bytes from 10.0.0.2: icmp_seq=267 ttl=64 time=169 ms
64 bytes from 10.0.0.2: icmp_seq=268 ttl=64 time=151 ms
64 bytes from 10.0.0.2: icmp_seq=269 ttl=64 time=115 ms
64 bytes from 10.0.0.2: icmp_seq=270 ttl=64 time=106 ms
64 bytes from 10.0.0.2: icmp_seq=271 ttl=64 time=96.2 ms
64 bytes from 10.0.0.2: icmp_seq=272 ttl=64 time=93.8 ms
64 bytes from 10.0.0.2: icmp_seq=273 ttl=64 time=90.8 ms
64 bytes from 10.0.0.2: icmp_seq=274 ttl=64 time=95.1 ms
64 bytes from 10.0.0.2: icmp_seq=275 ttl=64 time=90.0 ms
64 bytes from 10.0.0.2: icmp_seq=276 ttl=64 time=101 ms
